"","PROBEID","SYMBOL","ENTREZID","GENENAME","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1622896_at","pinta","42635","prolonged depolarization afterpotential (PDA) is not apparent","1622896_at",0.905867676333335,6.67999317266667,3.70596502876551,0.00292304205009098,0.0380475383073122,-2.53332179812153
"2","1622901_at","CG9993","37358","uncharacterized protein","1622901_at",-0.0848206783333336,3.24560236273333,-0.578259206043753,0.573608165302846,0.81657826796631,-7.30992522966979
"3","1622906_at","Sod3","36232","Superoxide dismutase 3","1622906_at",0.441674820666666,7.6773574572,4.38591907248083,0.000853345523773779,0.0154335789366848,-1.27254357642257
"4","1622909_at","Pi3K21B","33203","Pi3K21B","1622909_at",-0.0466255566666636,10.1574149397333,-0.579133238250707,0.57303674159382,0.81657826796631,-7.30939427501522
"5","1622922_at","Nlg4","42402","Neuroligin 4","1622922_at",-0.0870796606666659,2.5791043216,-1.04667361701528,0.31554366632239,0.62534297211537,-6.92210723859429
"6","1622926_at","CG5776","34680","uncharacterized protein","1622926_at",-0.0386009866666646,5.80339247306667,-0.27188482564847,0.790256783131178,0.935477571393862,-7.44808377867947
"7","1622937_at","CG13698","40000","uncharacterized protein","1622937_at",-0.260273432,8.47946417846667,-1.73931566676481,0.107122613652037,0.371328968163955,-6.03083990763136
"8","1622949_at","peb","31391","pebbled","1622949_at",0.363515312666667,8.3821125394,2.72944506165231,0.018051191962087,0.125527713673173,-4.35438651338416
"9","1622957_s_at","Drep3","36292","DNA fragmentation factor-related protein 3","1622957_s_at",0.222747178666665,10.1038425994667,1.26283932214,0.230248914075537,0.540054874719651,-6.67965056737616
"10","1622968_at","p115","31698","p115","1622968_at",0.0362748500000016,9.27220954393333,0.648400207290869,0.528741170218795,0.789236820038174,-7.26491906883927
"11","1622983_a_at","Nup154","34527","Nucleoporin 154kD","1622983_a_at",-0.0852435936666645,9.54715611186667,-0.947904451900976,0.361575838204767,0.664045911118354,-7.02030536537157
"12","1622989_at","CG5611","43318","uncharacterized protein","1622989_at",0.172185503000001,5.97108360486667,2.43613148160935,0.0310792049320632,0.176152692945285,-4.88147515502347
